time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2019/07/11/08:54:51.063089,1,1562828091,62896013,map,0,1,47.0591308333,15.458615,403.3,"(0.45495025, 0.0, 0.0, 0.0, 0.9880359999999998, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:54:52.061798,2,1562828092,61661958,map,0,1,47.0591301667,15.4586145,403.5,"(0.46457856, 0.0, 0.0, 0.0, 0.9880359999999998, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:54:53.062617,3,1562828093,62483072,map,0,1,47.0591295,15.458614,403.7,"(0.46457856, 0.0, 0.0, 0.0, 0.9880359999999998, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:54:54.060820,4,1562828094,60543060,map,0,1,47.0591288333,15.4586135,403.9,"(0.46457856, 0.0, 0.0, 0.0, 0.9880359999999998, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:54:55.064253,5,1562828095,63816070,map,0,1,47.059128,15.458613,404.1,"(0.46457856, 0.0, 0.0, 0.0, 0.9880359999999998, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:54:56.063433,6,1562828096,63138008,map,0,1,47.0591271667,15.4586125,404.3,"(0.47430768999999995, 0.0, 0.0, 0.0, 0.9880359999999998, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:54:57.064290,7,1562828097,64074993,map,0,1,47.0591266667,15.4586121667,404.4,"(0.4479624899999999, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:54:58.063564,8,1562828098,63431024,map,0,1,47.0591258333,15.4586116667,404.6,"(0.45724643999999987, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:54:59.060820,9,1562828099,60666084,map,0,1,47.059125,15.4586106667,404.8,"(0.4760999999999999, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:00.064183,10,1562828100,64032077,map,0,1,47.0591243333,15.4586096667,405.0,"(0.4666256099999999, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:01.063361,11,1562828101,63235998,map,0,1,47.0591235,15.4586085,405.2,"(0.4666256099999999, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:02.063874,12,1562828102,63736915,map,0,1,47.0591226667,15.4586076667,405.4,"(0.45724643999999987, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:03.064376,13,1562828103,64232110,map,0,1,47.0591213333,15.4586066667,405.6,"(0.45724643999999987, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:04.063543,14,1562828104,63425064,map,0,1,47.0591201667,15.4586056667,405.8,"(0.45724643999999987, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:05.063268,15,1562828105,63150882,map,0,1,47.0591191667,15.4586048333,405.9,"(0.45724643999999987, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:06.063475,16,1562828106,63308954,map,0,1,47.0591181667,15.458604,406.0,"(0.4479624899999999, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:07.064763,17,1562828107,64619064,map,0,1,47.059117,15.458603,406.2,"(0.4479624899999999, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:08.063101,18,1562828108,62912940,map,0,1,47.0591161667,15.4586023333,406.4,"(0.43877375999999985, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:09.064072,19,1562828109,63925981,map,0,1,47.0591155,15.458602,406.5,"(0.43877375999999985, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:10.060785,20,1562828110,60600996,map,0,1,47.0591148333,15.4586018333,406.6,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:11.063965,21,1562828111,63812971,map,0,1,47.0591141667,15.4586016667,406.8,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:12.062317,22,1562828112,62118053,map,0,1,47.059114,15.4586016667,407.1,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:13.065538,23,1562828113,65340042,map,0,1,47.0591135,15.4586015,407.3,"(0.43877375999999985, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:14.063655,24,1562828114,63535928,map,0,1,47.0591133333,15.4586018333,407.6,"(0.43877375999999985, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:15.063888,25,1562828115,63766956,map,0,1,47.059113,15.4586018333,407.8,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:16.064341,26,1562828116,64198017,map,0,1,47.0591128333,15.458602,408.1,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:17.061653,27,1562828117,61150074,map,0,1,47.0591126667,15.4586021667,408.4,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:18.063225,28,1562828118,63087940,map,0,1,47.0591125,15.4586021667,408.6,"(0.42968025, 0.0, 0.0, 0.0, 1.0712249999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
