,Week,GPSTime,Latitude,Longitude,H-Ell,X-ECEF,Y-ECEF,Z-ECEF,VNorth,VEast,VUp,VX-ECEF,VY-ECEF,VZ-ECEF,SD-VX-ECE,SD-VY-ECE,SD-VZ-ECE,Heading,HdngSD,Roll,RollSD,Pitch,PitchSD,SDX-ECEF,SDY-ECEF,SDZ-ECEF,AmbStatus,HDOP,PDOP,VDOP,Easting,Northing,UTC
13099,2061,370509,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.001,0,0.001,-0.001,-0.001,0.001,0.001,0.001,49.5115920972,0.0188289545,-0.351893489,0.0011264037,0.3321894705,0.0011235768,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091
13100,2061,370509.1,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.001,-0.001,0,-0.001,-0.001,0.001,0.001,0.001,49.5114889648,0.018828921,-0.3522831003,0.0011257917,0.3321780113,0.0011229597,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091.1
13101,2061,370509.2,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.001,0,0.001,-0.001,-0.001,0.001,0.001,0.001,49.5116665817,0.0188288894,-0.3522716412,0.0011251786,0.3322926029,0.0011223416,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091.2
13102,2061,370509.3,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,0,0,-0.001,0,0.001,0.001,0.001,49.5121364071,0.0188288558,-0.3517903566,0.0011245635,0.332521786,0.0011217213,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091.3
13103,2061,370509.4,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,0,0,-0.001,0,0.001,0.001,0.001,49.5120160859,0.018828826,-0.352002351,0.0011239466,0.3324816789,0.0011210993,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091.4
13104,2061,370509.5,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,0,0,-0.001,0,0.001,0.001,0.001,49.5117869028,0.0188287925,-0.3522888299,0.0011233287,0.3321894705,0.0011204762,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091.5
13105,2061,370509.6,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0,0,0,0,0,0.001,0.001,0.001,49.5118155507,0.0188287608,-0.3524664468,0.0011227097,0.3328254536,0.0011198521,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091.6
13106,2061,370509.7,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0,0,0,0,0,0.001,0.001,0.001,49.5118613873,0.0188287292,-0.3524091511,0.0011220898,0.3329228564,0.001119227,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091.7
13107,2061,370509.8,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0,0,0,0,0,0.001,0.001,0.001,49.5119530606,0.0188286956,-0.3523805032,0.0011214698,0.3334900847,0.0011186019,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091.8
13108,2061,370509.9,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0,0,0,0,0,0.001,0.001,0.001,49.5117926324,0.018828664,-0.3527242778,0.0011208497,0.3326249184,0.0011179768,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828091.9
13109,2061,370510,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0,-0.001,-0.001,0,0,0.001,0.001,0.001,49.5117410662,0.0188286323,-0.3526784412,0.0011202289,0.332521786,0.0011173509,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092
13110,2061,370510.1,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0,0,0.001,0.001,0.001,49.5117181479,0.0188286006,-0.3528216807,0.001119607,0.3326592959,0.001116724,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092.1
13111,2061,370510.2,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0,0.001,0.001,0.001,49.5114488577,0.0188285671,-0.3527414666,0.0011189842,0.3325447043,0.0011160962,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092.2
13112,2061,370510.3,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5116150155,0.0188285355,-0.3528503286,0.0011183595,0.3333583044,0.0011154665,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092.3
13113,2061,370510.4,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5115462605,0.0188285019,-0.352735737,0.0011177331,0.3327509691,0.0011148348,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092.4
13114,2061,370510.5,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5117697141,0.0188284721,-0.3526727116,0.0011171055,0.332412924,0.0011142023,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092.5
13115,2061,370510.6,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5117009591,0.0188284386,-0.352844599,0.0011164771,0.3321894705,0.0011135688,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092.6
13116,2061,370510.7,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5115691789,0.0188284069,-0.3528904356,0.0011158477,0.3322181184,0.0011129343,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092.7
13117,2061,370510.8,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5112712408,0.0188283734,-0.3524492581,0.0011152185,0.3327395099,0.0011123,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092.8
13118,2061,370510.9,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.002,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5112024859,0.0188283436,-0.3527643849,0.001114589,0.3323384395,0.0011116657,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828092.9
13119,2061,370511,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.002,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5116264746,0.0188283101,-0.3529992976,0.0011139589,0.3322754141,0.0011110305,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093
13120,2061,370511.1,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.002,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5116551225,0.0188282784,-0.3529878384,0.0011133277,0.3323384395,0.0011103944,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093.1
13121,2061,370511.2,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5110535168,0.0188282449,-0.3531310779,0.0011126957,0.3326191888,0.0011097573,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093.2
13122,2061,370511.3,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5111795676,0.0188282151,-0.3528216807,0.0011120618,0.3326249184,0.0011091185,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093.3
13123,2061,370511.4,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0,0.001,0.001,0.001,49.510956114,0.0188281815,-0.3529878384,0.001111426,0.3324473015,0.0011084777,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093.4
13124,2061,370511.5,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0,0.001,0.001,0.001,49.5110535168,0.0188281499,-0.3527013595,0.0011107894,0.332561893,0.0011078361,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093.5
13125,2061,370511.6,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0.001,0.001,0.001,0.001,49.5107326605,0.0188281182,-0.3525695792,0.0011101519,0.3323785465,0.0011071935,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093.6
13126,2061,370511.7,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0,0.001,0.001,0.001,49.5105836914,0.0188280847,-0.3525695792,0.0011095133,0.3323613578,0.00110655,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093.7
13127,2061,370511.8,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0.001,0,-0.001,0.001,0,0.001,0.001,0.001,49.5105607731,0.018828053,-0.352328937,0.0011088748,0.3326994029,0.0011059066,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093.8
13128,2061,370511.9,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0.001,0,-0.001,0.001,0,0.001,0.001,0.001,49.5104862886,0.0188280214,-0.3528789764,0.0011082361,0.3324644902,0.0011052631,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828093.9
13129,2061,370512,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0,0,0,0,0,0.001,0.001,0.001,49.5103144013,0.0188279897,-0.3529076243,0.0011075967,0.3325962705,0.0011046188,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828094
13130,2061,370512.1,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0,0,0,0,0,0.001,0.001,0.001,49.5103144013,0.0188279562,-0.3524950947,0.0011069562,0.3321379043,0.0011039735,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828094.1
13131,2061,370512.2,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0,0,0,0,0,0.001,0.001,0.001,49.5102456464,0.0188279245,-0.3526727116,0.0011063149,0.3319717465,0.0011033274,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828094.2
13132,2061,370512.3,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,0,0,0,0,-0.001,0.001,0.001,0.001,49.510033652,0.0188278928,-0.3523862327,0.0011056717,0.3320405014,0.0011026792,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828094.3
13133,2061,370512.4,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.001,0,0,-0.001,-0.001,0.001,0.001,0.001,49.5102456464,0.0188278612,-0.3523002891,0.0011050267,0.3322066592,0.0011020292,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828094.4
13134,2061,370512.5,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.001,0,0.001,-0.001,-0.001,0.001,0.001,0.001,49.5101425139,0.0188278276,-0.3524377989,0.0011043807,0.3321436338,0.0011013784,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828094.5
13135,2061,370512.6,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.001,0,0.001,-0.001,-0.001,0.001,0.001,0.001,49.5103430492,0.018827796,-0.3526784412,0.0011037345,0.3320519606,0.0011007274,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828094.6
13136,2061,370512.7,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.002,0,0.001,-0.001,-0.001,0.001,0.001,0.001,49.5101768914,0.0188277643,-0.3522487229,0.0011030883,0.3317654817,0.0011000764,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828094.7
13137,2061,370512.8,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.002,-0.001,0.001,-0.002,-0.002,0.001,0.001,0.001,49.50992479,0.0188277327,-0.3522888299,0.0011024419,0.3321722817,0.0010994255,0.005,0.002,0.006,Fixed,0.74,0.99,0.66,534826.992,5211836.249,1562828094.8
13138,2061,370512.9,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.002,-0.001,0.001,-0.002,-0.002,0.001,0.001,0.001,49.5097471731,0.0188276991,-0.3525523905,0.0011017957,0.3323269803,0.0010987746,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828094.9
13139,2061,370513,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.002,-0.001,0.002,-0.002,-0.002,0.001,0.001,0.001,49.5101940801,0.0188276675,-0.352518013,0.0011011485,0.3320519606,0.0010981227,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095
13140,2061,370513.1,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.002,0,0.002,-0.002,-0.002,0.001,0.001,0.001,49.510400345,0.0188276358,-0.3524034215,0.0011004993,0.3320405014,0.0010974689,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095.1
13141,2061,370513.2,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.002,-0.001,0.002,-0.002,-0.002,0.001,0.001,0.001,49.5106008802,0.0188276041,-0.3523232074,0.0010998482,0.3316165127,0.001096813,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095.2
13142,2061,370513.3,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.003,-0.001,0.001,-0.002,-0.002,0.001,0.001,0.001,49.5102800238,0.0188275725,-0.3522773708,0.001099195,0.3315592169,0.0010961551,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095.3
13143,2061,370513.4,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.002,-0.001,0.002,-0.002,-0.002,0.001,0.001,0.001,49.5101539731,0.0188275389,-0.3522258046,0.0010985397,0.3319316395,0.0010954951,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095.4
13144,2061,370513.5,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.003,-0.001,0.002,-0.002,-0.002,0.001,0.001,0.001,49.5107212013,0.0188275073,-0.3521685088,0.0010978832,0.3321379043,0.0010948339,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095.5
13145,2061,370513.6,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.003,-0.001,0.002,-0.002,-0.002,0.001,0.001,0.001,49.5107326605,0.0188274737,-0.3526841708,0.0010972258,0.3318800733,0.0010941717,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095.6
13146,2061,370513.7,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.003,-0.001,0.002,-0.002,-0.002,0.001,0.001,0.001,49.511105083,0.0188274421,-0.3522258046,0.0010965671,0.3314961915,0.0010935082,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095.7
13147,2061,370513.8,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.003,-0.001,0.002,-0.002,-0.002,0.001,0.001,0.001,49.510589421,0.0188274104,-0.3520195398,0.0010959083,0.3316451606,0.0010928448,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095.8
13148,2061,370513.9,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.003,0,0.002,-0.002,-0.001,0.001,0.001,0.001,49.5110764352,0.0188273787,-0.3521284017,0.0010952493,0.3320576902,0.0010921812,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828095.9
13149,2061,370514,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.003,0,0.002,-0.002,-0.002,0.001,0.001,0.001,49.5111222718,0.0188273452,-0.3522429933,0.0010945894,0.3322868733,0.0010915167,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096
13150,2061,370514.1,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.003,-0.001,0.001,-0.002,-0.001,0.001,0.001,0.001,49.5111451901,0.0188273136,-0.3520195398,0.0010939282,0.3323384395,0.001090851,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.1
13151,2061,370514.2,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.002,-0.003,-0.001,0.001,-0.002,-0.002,0.001,0.001,0.001,49.5115176127,0.0188272819,-0.3523518553,0.0010932662,0.331897262,0.0010901843,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.2
13152,2061,370514.3,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.002,0,0.001,-0.002,-0.001,0.001,0.001,0.001,49.5114832352,0.0188272502,-0.3523002891,0.0010926018,0.3319316395,0.0010895154,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.3
13153,2061,370514.4,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.002,0,0.001,-0.002,-0.001,0.001,0.001,0.001,49.5115290718,0.0188272167,-0.3519164073,0.0010919354,0.3318170479,0.0010888445,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.4
13154,2061,370514.5,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.002,0,0.001,-0.002,-0.001,0.001,0.001,0.001,49.5117009591,0.018827185,-0.3519278665,0.0010912678,0.3319545578,0.0010881723,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.5
13155,2061,370514.6,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.002,0,0.001,-0.002,-0.001,0.001,0.001,0.001,49.5115061535,0.0188271534,-0.3519221369,0.0010905992,0.3319144507,0.0010874991,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.6
13156,2061,370514.7,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.002,0,0.001,-0.001,-0.001,0.001,0.001,0.001,49.5114889648,0.0188271217,-0.3518419228,0.0010899294,0.331272738,0.0010868248,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.7
13157,2061,370514.8,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,-0.001,-0.001,0,0.001,-0.001,-0.001,0.001,0.001,0.001,49.5118098211,0.0188270882,-0.3520309989,0.0010892594,0.3313472225,0.0010861503,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.8
13158,2061,370514.9,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,0,0,-0.001,0,0.001,0.001,0.001,49.5116322042,0.0188270565,-0.3519278665,0.0010885892,0.3310206366,0.0010854758,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.9
13159,2061,370515,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,0,0,-0.001,0,0.001,0.001,0.001,49.5116608521,0.0188270248,-0.35174452,0.0010879178,0.3312269014,0.0010848001,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097
