time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2019/07/11/08:55:22.848377,0.0,0.0,0.0,0.0,0.0,0.0
2019/07/11/08:55:23.056066,0.0,0.0,0.0,0.0,0.0,0.0
2019/07/11/08:55:23.056078,0.0,0.0,0.0,0.0,0.0,0.0
2019/07/11/08:55:23.946202,0.0,0.0,0.0,0.0,0.0,0.0
2019/07/11/08:55:23.946210,0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:23.948652,0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:23.948656,0.0,0.0,0.0,0.0,0.0,-0.266520762444
2019/07/11/08:55:23.994274,0.0,0.0,0.0,0.0,0.0,-0.266520762444
2019/07/11/08:55:24.355991,0.0,0.0,0.0,0.0,0.0,-0.304625296593
2019/07/11/08:55:24.355999,0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:25.247280,0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:25.247290,0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:27.501929,0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:27.501936,0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:27.501972,0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:27.513438,0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:27.513447,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:27.513479,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:28.096264,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:28.096282,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:28.096287,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:28.096702,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:28.096707,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:28.347065,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:28.347074,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:28.347109,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:29.206095,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:29.206104,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:30.056417,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:30.056424,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:30.821059,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:30.821070,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:31.097677,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:31.097685,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:31.757609,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:31.757615,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:31.757620,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:32.227726,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:32.227737,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:33.044327,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:33.044337,0.000717184972018,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:33.044353,0.000717184972018,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:33.835080,0.0214043743908,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:33.835089,0.0269195046276,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:34.181913,0.0344401374459,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:34.181925,0.0797819271684,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:34.919383,0.0797819271684,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:34.919393,0.0853624492884,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:35.420193,0.0824849903584,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:35.420207,0.0386255346239,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:35.420213,0.0386255346239,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:36.230189,0.0386255346239,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:36.230201,0.0368816182017,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:36.230216,0.0368816182017,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:37.085796,0.0368816182017,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:37.085805,0.0368816182017,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:37.825262,0.0368816182017,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:37.825270,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:38.157531,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:38.157547,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:38.181421,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:38.562458,0.00178533280268,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:38.562471,0.052402459085,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:39.444533,0.0540373809636,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:39.444544,0.0558902919292,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:39.524441,0.0558902919292,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:39.524451,0.0558902919292,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:40.382709,0.0558902919292,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:40.382720,0.0410670153797,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:40.901455,0.0410670153797,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:40.901465,0.0410670153797,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:41.402166,0.0410670153797,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:41.402175,0.0351159051061,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:41.782755,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:42.487521,0.0,0.0,0.0,0.0,0.0,0.0
2019/07/11/08:55:42.640069,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:42.691787,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:42.736418,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:42.790870,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:42.837812,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.052468,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.079251,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.079283,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.102651,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.189368,0.410231977701,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.189415,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.273177,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.333879,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.375354,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.412577,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.466658,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.512760,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.563150,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.616601,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.663486,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.714092,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.765017,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.814388,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.864843,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.969056,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:43.982974,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:44.019950,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:44.066385,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:44.075550,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:44.082606,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:44.095515,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:44.122299,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:44.164519,0.5,0.0,0.0,0.0,0.0,-0.0658310413361
2019/07/11/08:55:44.181819,0.5,0.0,0.0,0.0,0.0,-0.145545387268
2019/07/11/08:55:44.230802,0.5,0.0,0.0,0.0,0.0,-0.145545387268
2019/07/11/08:55:44.282459,0.5,0.0,0.0,0.0,0.0,-0.145545387268
2019/07/11/08:55:44.330101,0.394602149725,0.0,0.0,0.0,0.0,-0.324941897392
2019/07/11/08:55:44.380800,0.394602149725,0.0,0.0,0.0,0.0,-0.324941897392
2019/07/11/08:55:44.405408,0.364999204874,0.0,0.0,0.0,0.0,-0.347752308846
2019/07/11/08:55:44.427992,0.363822042942,0.0,0.0,0.0,0.0,-0.350873923302
2019/07/11/08:55:44.450542,0.359375059605,0.0,0.0,0.0,0.0,-0.352199292183
2019/07/11/08:55:44.487933,0.321684718132,0.0,0.0,0.0,0.0,-0.37392847538
2019/07/11/08:55:44.500074,0.30461615324,0.0,0.0,0.0,0.0,-0.377608132362
2019/07/11/08:55:44.545942,0.30461615324,0.0,0.0,0.0,0.0,-0.377608132362
2019/07/11/08:55:44.599168,0.30461615324,0.0,0.0,0.0,0.0,-0.377608132362
2019/07/11/08:55:44.646771,0.30461615324,0.0,0.0,0.0,0.0,-0.377608132362
2019/07/11/08:55:44.697137,0.30461615324,0.0,0.0,0.0,0.0,-0.377608132362
2019/07/11/08:55:44.707091,0.145091533661,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:44.755780,0.145091533661,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:44.809154,0.145091533661,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:44.859969,0.145091533661,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:44.906872,0.145091533661,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:44.980044,0.420564681292,0.0,0.0,0.0,0.0,-0.21814455986
2019/07/11/08:55:44.992663,0.420564681292,0.0,0.0,0.0,0.0,-0.21814455986
2019/07/11/08:55:45.071431,0.420564681292,0.0,0.0,0.0,0.0,-0.21814455986
2019/07/11/08:55:45.094154,0.420564681292,0.0,0.0,0.0,0.0,-0.21814455986
2019/07/11/08:55:45.119336,0.5,0.0,0.0,0.0,0.0,-0.0673656880856
2019/07/11/08:55:45.160462,0.5,0.0,0.0,0.0,0.0,-0.0673656880856
2019/07/11/08:55:45.192920,0.5,0.0,0.0,0.0,0.0,-0.0417301386595
2019/07/11/08:55:45.205009,0.5,0.0,0.0,0.0,0.0,-0.0406489104033
2019/07/11/08:55:45.245538,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.268027,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.284974,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.290592,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.310809,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.355900,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.409053,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.500977,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.520210,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.597933,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.625013,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.666965,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.716079,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:45.764807,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:46.334992,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:46.335020,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:47.348712,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:47.348726,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.755788,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.755799,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.759079,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.759089,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.759111,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.759311,0.5,0.0,0.0,0.0,0.0,-0.0
