,time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance,yaw
0,2019/07/11/08:54:51.700519,0,1562828090,566920263,odom,base_link,0.0,2.3841857932399997e-09,1.33514403977e-08,0.0,0.0,0.0,1.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0
1,2019/07/11/08:54:52.871899,1,1562828091,633667263,odom,base_link,8.79421713762e-05,-0.00017794517276299997,-7.76783999172e-05,0.0,0.0,0.0,1.0,"(1.9274990492590405e-08, 1.5186294444191617e-09, -7.470251084384927e-09, 8.873090456829047e-11, -3.5980304846638944e-10, -2.520948944387258e-12, 1.518628778285347e-09, 5.925341106660653e-09, -9.255800015317561e-10, -2.0117082999426827e-10, -1.7453020972890698e-10, -4.486275240189741e-10, -7.470249308028087e-09, -9.255814448216881e-10, 6.497611337863418e-09, 4.223102770262166e-11, 4.902291905750644e-10, 9.065313083533866e-11, 8.873090456829047e-11, -2.0117077448311704e-10, 4.223099647759909e-11, 3.2013508510786437e-10, 6.648883527082816e-11, 2.760140423510582e-12, -3.598034648000237e-10, -1.7453063994032902e-10, 4.902295236419718e-10, 6.648884220972207e-11, 1.5341079795394563e-10, 4.546649168268857e-11, -2.5209038415768825e-12, -4.4862794035260833e-10, 9.065298511856668e-11, 2.760139122467975e-12, 4.5466463927112954e-11, 1.6545217973451543e-10)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0
2,2019/07/11/08:54:54.012461,2,1562828092,767063263,odom,base_link,0.00015100851305799998,-0.00029902583861299997,-5.41130720522e-05,0.0,0.0,0.0,1.0,"(4.363675287777369e-08, 3.2772349278786805e-09, -1.6881687159298053e-08, 2.0064676309328178e-10, -8.162263087641008e-10, -2.5767534807263903e-12, 3.2772347058340756e-09, 1.351385847669917e-08, -2.053448966421456e-09, -4.47498954558867e-10, -3.883619259514859e-10, -1.0121120608275191e-09, -1.6881687159298053e-08, -2.0534500766444808e-09, 1.4543948267942142e-08, 9.337314255120077e-11, 1.0959123608600407e-09, 2.016521671865945e-10, 2.0064723493806724e-10, -4.4749867700311086e-10, 9.33726637675214e-11, 7.107340826983943e-10, 1.473097754889352e-10, 6.083060270778429e-12, -8.162261977417984e-10, -3.883623422851201e-10, 1.0959121388154358e-09, 1.4730981712229863e-10, 3.411264604125108e-10, 1.0104227177176739e-10, -2.576653083605218e-12, -1.0121129490059388e-09, 2.0165211167544328e-10, 6.083100603099245e-12, 1.0104227177176739e-10, 3.683463811743337e-10)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0
3,2019/07/11/08:54:55.034218,3,1562828093,900427263,odom,base_link,0.00018153049313700002,-0.00040055265213599997,-3.2141796837400003e-06,0.0,0.0,0.0,1.0,"(5.154427640263748e-08, 3.7228773397401937e-09, -1.991360321085267e-08, 2.375135366161629e-10, -9.65293400767564e-10, 2.9908180424441377e-13, 3.7228786720078233e-09, 1.605671151594379e-08, -2.38852426726055e-09, -5.215525789026287e-10, -4.5288017780364953e-10, -1.192339671440834e-09, -1.991360676356635e-08, -2.388524045215945e-09, 1.702567331562932e-08, 1.0825354501697859e-10, 1.2816676608906619e-09, 2.348586602973768e-10, 2.3751428601670455e-10, -5.215523568580238e-10, 1.0825289276095162e-10, 8.270050755321279e-10, 1.713959529858755e-10, 7.147552515129885e-12, -9.652924015668418e-10, -4.5288017780364953e-10, 1.2816667727122422e-09, 1.7139606400817797e-10, 3.9741188118114223e-10, 1.1767285756913992e-10, 2.995606963440006e-13, -1.1923394493962292e-09, 2.3485843825277186e-10, 7.147599352663736e-12, 1.1767284369135211e-10, 4.293226885110357e-10)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0
4,2019/07/11/08:54:56.069932,4,1562828094,967186263,odom,base_link,0.00021718721836799999,-0.000491339388245,5.68709511426e-05,0.0,0.0,0.0,1.0,"(7.301908055978856e-08, 5.274804593113913e-09, -2.8208026137122033e-08, 3.364589440391086e-10, -1.3671112020219311e-09, 7.073398399122521e-13, 5.2748063694707525e-09, 2.2747117967014674e-08, -3.3814739897053414e-09, -7.401635970794018e-10, -6.420438070087187e-10, -1.6891718024325542e-09, -2.8208027913478873e-08, -3.3814733235715266e-09, 2.4124641839762262e-08, 1.518335734917997e-10, 1.8152981340335828e-09, 3.329147790775977e-10, 3.3645938812831844e-10, -7.401632085013432e-10, 1.518328240912581e-10, 1.1728560345147798e-09, 2.433420132064157e-10, 1.025070653359883e-11, -1.367111646111141e-09, -6.420437514975674e-10, 1.8152983560781877e-09, 2.4334212422871815e-10, 5.632171395930641e-10, 1.66785141253456e-10, 7.086787753851631e-13, -1.6891704701649246e-09, 3.3291380763245115e-10, 1.025072388083359e-11, 1.667851134978804e-10, 6.08272876512217e-10)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0
5,2019/07/11/08:54:57.131086,5,1562828095,967310263,odom,base_link,0.00019162192783500002,-0.000428898765996,0.000231818991305,0.00012207031068100001,0.00012207031068100001,0.0,0.999999985099,"(1.3072482829556975e-07, 9.446454285466643e-09, -5.0485549962786536e-08, 5.992116802744363e-10, -2.447189562104768e-09, 1.9920540911266826e-12, 9.446456061823483e-09, 4.071913650705028e-08, -6.050167922211358e-09, -1.326097676113136e-09, -1.1494328822081457e-09, -3.0232931713669586e-09, -5.048554285735918e-08, -6.050164369497679e-09, 4.319866064861344e-08, 2.688786138183019e-10, 3.2491684898161566e-09, 5.9636834359722e-10, 5.992116802744363e-10, -1.326097454068531e-09, 2.6887778115103345e-10, 2.1003039307743165e-09, 4.357368910135051e-10, 1.8154217712451626e-11, -2.447189340060163e-09, -1.1494318830074235e-09, 3.2491687118607615e-09, 4.357368632579295e-10, 1.0082392698507192e-09, 2.9852359473281354e-10, 1.9935266545173524e-12, -3.02328917456407e-09, 5.963669558184392e-10, 1.8154127506830875e-11, 2.9852359473281354e-10, 1.0888470125536287e-09)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.9802322387690114e-08
6,2019/07/11/08:54:58.214006,6,1562828097,33937263,odom,base_link,0.000154373294046,-0.000617852316717,0.0005436522770770001,0.0,0.000244140617724,2.9802321499500002e-08,0.999999970198,"(2.783682759854855e-07, 2.0114553578309824e-08, -1.0752096812893797e-07, 1.273414373947901e-09, -5.210017750556517e-09, 5.0582238050878026e-12, 2.0114553578309824e-08, 8.67125109493827e-08, -1.2883851319145379e-08, -2.8258375639467204e-09, -2.4478128413107925e-09, -6.437771649103752e-09, -1.0752096812893797e-07, -1.2883839772825922e-08, 9.202562978316564e-08, 5.714054784888845e-10, 6.91999213486838e-09, 1.2702455753910158e-09, 1.2734137078140861e-09, -2.825838230080535e-09, 5.714045903104648e-10, 4.472864745252991e-09, 9.279512158677505e-10, 3.829258438114991e-11, -5.2100133096644186e-09, -2.4478097326863235e-09, 6.91999213486838e-09, 9.279509383119944e-10, 2.1470147881785806e-09, 6.355762027787648e-10, 5.06005307099322e-12, -6.4377636554979745e-09, 1.270243465967269e-09, 3.8292244375348616e-11, 6.355760917564623e-10, 2.318651493027346e-09)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.960464832808982e-08
7,2019/07/11/08:54:59.273933,7,1562828098,100694263,odom,base_link,0.0680241792684,-0.142329032878,0.132629576331,-0.000121514410717,0.00203404169222,0.0022772517985100004,0.999995331006,"(2.216601615145919e-06, 7.976991156510849e-08, -7.029608468656079e-07, 9.550497281907155e-09, -3.843187101892909e-08, 1.782560321572646e-09, 7.97699257759632e-08, 7.873009053582791e-07, -8.913599458537647e-08, -8.16585910001777e-09, -1.2810162708376538e-08, -4.281081089629879e-08, -7.029604489616759e-07, -8.913596616366704e-08, 6.651678177149734e-07, 1.6523302726056954e-09, 4.1576424081313235e-08, 6.7679661874819885e-09, 9.550498170085575e-09, -8.165864429088288e-09, 1.652307624055993e-09, 1.8233572873782578e-08, 3.773689805086633e-09, -9.908756454235501e-11, -3.843185680807437e-08, -1.2810152050235502e-08, 4.1576427634026913e-08, 3.773689805086633e-09, 9.292250524595147e-09, 2.6479767267773013e-09, 1.7825715348251947e-09, -4.2810739842025214e-08, 6.767955085251742e-09, -9.908800169267096e-11, 2.6479762826880915e-09, 9.947356716111244e-09)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.004554041435597476
8,2019/07/11/08:55:00.303972,8,1562828099,167448263,odom,base_link,0.071510102149,-0.145868343937,0.135950365555,-0.000121514410717,0.00203404169222,0.0022772517985100004,0.999995331006,"(6.251021478220764e-09, 4.4561265788445326e-10, -2.420778244527355e-09, 3.7425895715870183e-11, -1.0286198282027925e-10, 9.584147711572122e-12, 4.4561243583984833e-10, 2.134396215325296e-09, -3.4758018685465686e-10, -1.0851172044246127e-10, -7.619392616842191e-11, -2.136706367394936e-10, -2.420778688616565e-09, -3.4758054767713986e-10, 2.220887695969509e-09, 2.0399026218198557e-11, 1.98919547500509e-10, 3.8963627463362016e-11, 3.742585408250676e-11, -1.0851174125914298e-10, 2.0399053973774173e-11, 1.5600028213658135e-10, 3.368466269804138e-11, 4.864472106375084e-12, -1.0286232282608054e-10, -7.619397474067924e-11, 1.989197417895383e-10, 3.368466269804138e-11, 7.441877669656094e-11, 2.0577298545654266e-11, 9.584210161617257e-12, -2.136708032729473e-10, 3.8963589299445545e-11, 4.864464300119442e-12, 2.057730028037774e-11, 8.621386243801155e-11)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.004554041435597476
9,2019/07/11/08:55:01.354639,9,1562828100,234204263,odom,base_link,0.07243778063289999,-0.14662069287,0.135884100803,-0.00024330616480700002,0.0019116939363399998,0.00227751489398,0.999995549567,"(3.634074730030079e-08, 2.819191990965919e-09, -1.4105029144673153e-08, 2.1572167663297392e-10, -5.958644133663427e-10, 5.166526234612334e-11, 2.8191933232335487e-09, 1.2282112216155383e-08, -2.073897276133607e-09, -6.412833597480017e-10, -4.5130141290705694e-10, -1.2474734578660218e-09, -1.4105030921029993e-08, -2.073897498178212e-09, 1.3087850803117362e-08, 1.2345131861213332e-10, 1.175915143036832e-09, 2.304297586075421e-10, 2.1572202357766912e-10, -6.412836373037578e-10, 1.2345134636770894e-10, 9.270231804414664e-10, 2.00251829007847e-10, 2.884461419716544e-11, -5.958646354109476e-10, -4.5130141290705694e-10, 1.1759158091706468e-09, 2.0025181513005919e-10, 4.4192813297705413e-10, 1.2217532541214382e-10, 5.166520683497211e-11, -1.2474729027545095e-09, 2.304297586075421e-10, 2.8844581237419398e-11, 1.22175311534356e-10, 5.110245560047133e-10)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.004554128310222317
